IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.119.90,4,1,0.75,959.16,0.00
172.67.2.37,4,1,0.75,960.54,0.00
104.25.161.99,4,1,0.75,960.77,0.00
104.25.163.239,4,1,0.75,961.31,0.00
104.25.164.107,4,1,0.75,961.31,0.00
104.25.224.86,4,1,0.75,962.01,0.00
104.25.223.212,4,1,0.75,962.09,0.00
104.16.121.156,4,1,0.75,962.16,0.00
104.25.217.194,4,1,0.75,962.62,0.00
104.16.116.147,4,1,0.75,963.06,0.00
104.25.221.138,4,1,0.75,963.15,0.00
104.25.109.220,4,1,0.75,963.58,0.00
104.25.225.194,4,1,0.75,963.60,0.00
104.25.226.229,4,1,0.75,964.16,0.00
104.25.128.169,4,1,0.75,964.44,0.00
104.25.165.199,4,1,0.75,964.65,0.00
104.25.222.114,4,1,0.75,964.77,0.00
172.67.0.160,4,1,0.75,964.85,0.00
104.25.162.219,4,1,0.75,965.03,0.00
104.23.132.251,4,1,0.75,965.21,0.00
104.25.220.40,4,1,0.75,965.28,0.00
104.24.17.115,4,1,0.75,965.51,0.00
104.27.1.231,4,1,0.75,966.03,0.00
104.25.183.218,4,1,0.75,966.30,0.00
104.24.20.104,4,1,0.75,966.35,0.00
104.25.94.218,4,1,0.75,966.84,0.00
172.67.53.168,4,1,0.75,966.84,0.00
104.25.227.16,4,1,0.75,967.13,0.00
104.25.228.118,4,1,0.75,967.76,0.00
104.25.160.9,4,1,0.75,968.30,0.00
104.25.157.108,4,1,0.75,968.30,0.00
104.25.233.51,4,1,0.75,968.57,0.00
104.25.159.222,4,1,0.75,968.81,0.00
104.24.48.57,4,1,0.75,968.86,0.00
104.24.3.162,4,1,0.75,968.86,0.00
104.25.232.142,4,1,0.75,969.07,0.00
104.24.18.85,4,1,0.75,969.36,0.00
104.25.229.130,4,1,0.75,969.60,0.00
104.25.234.115,4,1,0.75,970.14,0.00
104.25.237.33,4,1,0.75,971.01,0.00
104.25.231.205,4,1,0.75,971.17,0.00
104.25.235.101,4,1,0.75,971.52,0.00
104.25.236.106,4,1,0.75,971.52,0.00
104.25.239.198,4,1,0.75,971.56,0.00
104.25.230.16,4,1,0.75,972.58,0.00
104.25.238.97,4,1,0.75,972.60,0.00
172.67.50.119,4,1,0.75,973.28,0.00
172.67.51.94,4,1,0.75,973.80,0.00
104.25.156.247,4,1,0.75,973.91,0.00
104.25.107.181,4,1,0.75,974.57,0.00
172.67.55.138,4,1,0.75,975.79,0.00
104.25.106.231,4,1,0.75,976.17,0.00
104.26.1.254,4,1,0.75,976.30,0.00
104.26.0.118,4,1,0.75,976.80,0.00
104.26.8.43,4,1,0.75,976.80,0.00
172.65.184.131,4,1,0.75,977.68,0.00
172.67.49.235,4,1,0.75,977.89,0.00
172.65.180.212,4,1,0.75,977.97,0.00
104.26.2.50,4,1,0.75,978.41,0.00
104.26.7.14,4,1,0.75,978.41,0.00
104.25.83.218,4,1,0.75,978.77,0.00
104.26.3.104,4,1,0.75,979.31,0.00
172.65.57.95,4,1,0.75,979.51,0.00
172.67.122.81,4,1,0.75,981.19,0.00
172.65.181.232,4,1,0.75,981.44,0.00
172.65.154.23,4,1,0.75,983.50,0.00
172.65.158.160,4,1,0.75,985.03,0.00
104.19.148.84,4,1,0.75,988.37,0.00
104.19.144.175,4,1,0.75,988.37,0.00
172.67.44.15,4,1,0.75,988.51,0.00
172.67.8.146,4,1,0.75,988.71,0.00
104.19.145.248,4,1,0.75,989.01,0.00
104.19.147.127,4,1,0.75,989.53,0.00
104.25.102.156,4,1,0.75,990.25,0.00
104.25.100.143,4,1,0.75,990.80,0.00
104.19.146.9,4,1,0.75,990.94,0.00
104.25.104.74,4,1,0.75,990.95,0.00
172.67.114.1,4,1,0.75,991.28,0.00
172.65.178.222,4,1,0.75,991.95,0.00
172.67.46.73,4,1,0.75,992.04,0.00
172.65.161.155,4,1,0.75,992.40,0.00
172.67.116.207,4,1,0.75,992.56,0.00
172.67.43.202,4,1,0.75,992.61,0.00
172.65.159.162,4,1,0.75,992.92,0.00
104.25.103.1,4,1,0.75,992.97,0.00
172.67.117.16,4,1,0.75,993.07,0.00
172.67.45.238,4,1,0.75,993.61,0.00
172.65.56.226,4,1,0.75,994.19,0.00
104.25.80.161,4,1,0.75,994.23,0.00
104.25.101.163,4,1,0.75,994.74,0.00
172.65.170.52,4,1,0.75,995.39,0.00
104.24.29.59,4,1,0.75,995.49,0.00
172.67.47.241,4,1,0.75,995.88,0.00
104.25.108.196,4,1,0.75,996.96,0.00
104.25.184.71,4,1,0.75,998.24,0.00
104.24.147.68,4,1,0.75,999.24,0.00
104.24.24.97,4,1,0.75,1000.22,0.00
104.23.110.157,4,1,0.75,1000.30,0.00
104.25.136.212,4,1,0.75,1000.93,0.00
104.25.81.98,4,1,0.75,1004.40,0.00
104.19.126.196,4,1,0.75,1010.13,0.00
