IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.95.64,2,2,0.00,614.27,0.00
104.17.2.39,2,2,0.00,614.87,0.00
104.17.1.35,2,2,0.00,618.61,0.00
104.17.60.172,2,2,0.00,619.20,0.00
104.17.7.241,2,2,0.00,619.23,0.00
104.17.48.167,2,2,0.00,621.38,0.00
104.17.78.22,2,2,0.00,623.81,0.00
104.17.69.178,2,2,0.00,624.92,0.00
104.17.71.95,2,2,0.00,627.12,0.00
104.17.67.47,2,2,0.00,627.39,0.00
104.17.22.58,2,2,0.00,628.90,0.00
172.64.143.15,2,2,0.00,635.69,0.00
104.16.190.191,2,2,0.00,642.20,0.00
104.17.77.186,2,2,0.00,647.40,0.00
104.17.72.102,2,2,0.00,650.92,0.00
104.17.70.55,2,2,0.00,652.40,0.00
104.17.64.214,2,2,0.00,653.28,0.00
104.17.11.163,2,2,0.00,658.55,0.00
104.17.81.246,2,2,0.00,660.38,0.00
104.31.16.136,2,2,0.00,661.32,0.00
104.17.10.127,2,2,0.00,669.73,0.00
104.17.14.219,2,2,0.00,681.93,0.00
104.17.36.148,2,2,0.00,688.36,0.00
104.18.184.254,2,2,0.00,691.66,0.00
104.17.38.254,2,2,0.00,693.15,0.00
104.17.40.207,2,2,0.00,693.16,0.00
104.17.41.113,2,2,0.00,694.10,0.00
104.17.39.219,2,2,0.00,694.16,0.00
104.16.228.80,2,2,0.00,694.36,0.00
104.17.43.3,2,2,0.00,694.41,0.00
104.17.42.202,2,2,0.00,694.41,0.00
104.17.44.52,2,2,0.00,695.16,0.00
104.17.45.205,2,2,0.00,695.25,0.00
104.18.64.15,2,2,0.00,697.48,0.00
104.21.18.219,2,2,0.00,698.23,0.00
104.17.83.177,2,2,0.00,698.41,0.00
104.17.85.167,2,2,0.00,699.16,0.00
104.17.87.194,2,2,0.00,699.66,0.00
104.17.88.195,2,2,0.00,699.96,0.00
104.17.91.238,2,2,0.00,700.46,0.00
104.17.90.140,2,2,0.00,701.67,0.00
104.21.16.1,2,2,0.00,702.25,0.00
104.17.89.123,2,2,0.00,702.98,0.00
104.17.32.157,2,2,0.00,709.87,0.00
104.17.34.25,2,2,0.00,709.94,0.00
104.17.33.195,2,2,0.00,710.13,0.00
104.21.14.239,2,2,0.00,711.75,0.00
104.18.70.179,2,2,0.00,715.66,0.00
104.21.37.51,2,2,0.00,717.36,0.00
104.18.186.18,2,2,0.00,718.79,0.00
104.18.185.58,2,2,0.00,719.79,0.00
104.17.92.48,2,2,0.00,719.91,0.00
104.17.94.236,2,2,0.00,721.03,0.00
104.17.146.7,2,2,0.00,721.54,0.00
104.17.239.135,2,2,0.00,723.54,0.00
104.17.145.211,2,2,0.00,723.54,0.00
104.18.71.230,2,2,0.00,723.71,0.00
104.17.93.145,2,2,0.00,723.79,0.00
